,Unnamed: 0,label,area,mean_intensity_nuf2_CFP,fname_nuf2_CFP,nuf2_CFP_cyto,nuf2_CFP_bg,mean_intensity_YFP_pp1,fname_YFP_pp1,YFP_pp1_cyto,YFP_pp1_bg,YFP_pp1@kt/YFP_pp1@cyto,nuf2_CFP@kt/nuf2_CFP@cyto,YFP_pp1@kt/YFP_pp1@cyto:nuf2_CFP@kt/nuf2_CFP@cyto,condition,cell,Experiment
30,30,2_8,10,6099.3,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,6002.6,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.0374944261958807,1.2408960072209496,0.8360849097414721,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
31,31,2_9,33,6040.212121212122,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,5594.181818181818,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,0.966903084578345,1.2288746420047718,0.7868199501626549,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
32,32,2_10,12,6382.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,6194.166666666668,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.0706049697789266,1.2984618795740341,0.8245178288407997,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
33,33,2_11,13,5984.153846153847,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,6206.3076923076915,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.0727034348492068,1.2174696464001111,0.8810925496344341,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
34,34,2_12,14,6364.928571428572,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,6033.642857142857,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.0428598997005134,1.2949378536114402,0.8053358675029006,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
35,35,2_13,5,6581.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,5637.2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,0.9743383832591573,1.3388973527324561,0.7277170137581515,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
36,36,2_14,8,6591.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,5886.625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.017449209776651,1.3409827041783622,0.7587340288628521,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
37,37,2_15,8,6034.875,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,5611.875,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,0.9699611889861073,1.2277888104499743,0.7900065391788549,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
38,38,3_1,12,6507.916666666668,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z03_C0_T0.tif,4921.502177388236,4385.3175,6291.083333333332,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z03_C1_T0.tif,5750.303841796272,3831.4175,1.0940436377650842,1.322343551236691,0.8273520423205493,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
39,39,3_2,18,6058.333333333332,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z03_C0_T0.tif,4921.502177388236,4385.3175,5868.666666666668,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z03_C1_T0.tif,5750.303841796272,3831.4175,1.0205837514202418,1.2309927162418517,0.8290737532030441,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
