,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
119,4_26,5.0,34296.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,18744.8,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
120,4_27,5.0,15648.8,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,16804.4,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
121,4_28,34.0,27193.20588235294,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,20453.147058823528,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
122,4_29,20.0,31514.35,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,18820.8,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
123,4_30,52.0,27135.23076923077,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,21096.403846153848,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
124,4_31,32.0,30059.4375,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,19680.71875,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
125,4_32,22.0,24587.727272727272,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,17959.090909090908,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
127,4_34,8.0,21700.875,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,16756.125,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
128,5_1,27.0,22017.62962962963,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z05_C1_T0.tif,17235.144273898193,4672.1675,19263.074074074073,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z05_C0_T0.tif,14851.447300165055,9104.9825
129,5_2,51.0,28672.352941176472,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z05_C1_T0.tif,17235.144273898193,4672.1675,19271.352941176472,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z05_C0_T0.tif,14851.447300165055,9104.9825
130,5_3,46.0,26370.021739130436,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z05_C1_T0.tif,17235.144273898193,4672.1675,20649.869565217392,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z05_C0_T0.tif,14851.447300165055,9104.9825
131,5_4,35.0,32922.6,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z05_C1_T0.tif,17235.144273898193,4672.1675,19844.314285714285,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z05_C0_T0.tif,14851.447300165055,9104.9825
132,5_5,9.0,25646.88888888889,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z05_C1_T0.tif,17235.144273898193,4672.1675,19585.222222222223,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z05_C0_T0.tif,14851.447300165055,9104.9825
133,5_6,28.0,32407.928571428572,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z05_C1_T0.tif,17235.144273898193,4672.1675,19438.464285714286,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z05_C0_T0.tif,14851.447300165055,9104.9825
134,5_7,46.0,33807.52173913043,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z05_C1_T0.tif,17235.144273898193,4672.1675,20135.217391304348,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z05_C0_T0.tif,14851.447300165055,9104.9825
135,5_8,40.0,34138.325,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z05_C1_T0.tif,17235.144273898193,4672.1675,19678.475,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z05_C0_T0.tif,14851.447300165055,9104.9825
