,Unnamed: 0,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,GFP_ska@kt/GFP_ska@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:GFP_ska@kt/GFP_ska@cyto,condition,cell,Experiment
31,31,4_9,8.0,3123.75,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C1_T0.tif,4022.94429435714,3292.2325,12076.75,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C0_T0.tif,14974.39659581269,7210.8,0.8064932648689855,0.7764835333120541,1.038648252370435,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
32,32,4_10,9.0,3241.1111111111113,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C1_T0.tif,4022.94429435714,3292.2325,17333.666666666668,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C0_T0.tif,14974.39659581269,7210.8,1.1575535986213763,0.8056564729611887,1.4367830923852576,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
33,33,5_1,21.0,3183.666666666666,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C1_T0.tif,4039.2877137817322,3190.84,13300.571428571431,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C0_T0.tif,14875.888564987563,7100.05,0.8941026527905126,0.7881752656054298,1.1343957261887883,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
34,34,5_2,8.0,2741.125,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C1_T0.tif,4039.2877137817322,3190.84,12680.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C0_T0.tif,14875.888564987563,7100.05,0.8523860571155469,0.6786159328654646,1.2560654942425764,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
35,35,5_3,5.0,2300.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C1_T0.tif,4039.2877137817322,3190.84,9200.2,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C0_T0.tif,14875.888564987563,7100.05,0.6184638961099728,0.5695558630672763,1.0858704759517495,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
36,36,5_4,5.0,3072.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C1_T0.tif,4039.2877137817322,3190.84,13991.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C0_T0.tif,14875.888564987563,7100.05,0.9405152464592758,0.7605301275070299,1.236657447801872,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
37,37,5_5,23.0,3491.043478260869,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C1_T0.tif,4039.2877137817322,3190.84,18547.304347826088,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C0_T0.tif,14875.888564987563,7100.05,1.2468031248553249,0.8642720513197668,1.4426049331936892,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
38,38,5_6,27.0,2931.8148148148152,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C1_T0.tif,4039.2877137817322,3190.84,17308.11111111111,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C0_T0.tif,14875.888564987563,7100.05,1.16350099259604,0.7258247053834995,1.6030054970108631,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
39,39,5_7,5.0,3525.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C1_T0.tif,4039.2877137817322,3190.84,17432.8,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z05_C0_T0.tif,14875.888564987563,7100.05,1.1718829382085099,0.8728271541467397,1.342628872899952,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
40,40,6_1,5.0,2623.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C1_T0.tif,4029.690312679839,3127.2225,12120.8,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C0_T0.tif,14862.470717932849,7168.48,0.8155306227365825,0.6510674013197914,1.2526055229971653,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
41,41,6_2,5.0,3513.2,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C1_T0.tif,4029.690312679839,3127.2225,12494.2,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C0_T0.tif,14862.470717932849,7168.48,0.8406543055405098,0.8718287827095177,0.9642424317856058,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
42,42,6_3,5.0,2876.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C1_T0.tif,4029.690312679839,3127.2225,11994.4,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C0_T0.tif,14862.470717932849,7168.48,0.8070259802448407,0.7137024874964628,1.1307596573969352,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
43,43,6_4,8.0,2169.625,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C1_T0.tif,4029.690312679839,3127.2225,9095.5,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C0_T0.tif,14862.470717932849,7168.48,0.61197765651612,0.5384098607213189,1.1366390201253758,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
44,44,6_5,5.0,2656.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C1_T0.tif,4029.690312679839,3127.2225,11409.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C0_T0.tif,14862.470717932849,7168.48,0.7676381818693214,0.6591077214153704,1.1646627052417051,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
45,45,6_6,21.0,3412.5714285714284,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C1_T0.tif,4029.690312679839,3127.2225,18064.52380952381,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C0_T0.tif,14862.470717932849,7168.48,1.215445544173716,0.8468569948994389,1.4352429648621436,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
46,46,6_7,40.0,3127.45,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C1_T0.tif,4029.690312679839,3127.2225,17446.425,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C0_T0.tif,14862.470717932849,7168.48,1.1738576533543232,0.776101823546875,1.5125046968575053,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
47,47,6_8,5.0,3602.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C1_T0.tif,4029.690312679839,3127.2225,11794.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z06_C0_T0.tif,14862.470717932849,7168.48,0.793542354015845,0.8938652155640678,0.8877651129036107,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
