label,area,min_intensity_particle,max_intensity_particle,mean_intensity_particle,fname_particle,particle_cyto,particle_bg,min_intensity_mask,max_intensity_mask,mean_intensity_mask,fname_mask,mask_cyto,mask_bg,Particle Intensity * Area,mask@kt/mask@cyto,particle@kt/particle@cyto,mask@kt/mask@cyto:particle@kt/particle@cyto,condition
2_14,5.0,261.0,927.0,594.8,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,462.0,1168.0,779.0,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,2974.0,2.4347437370464644,0.8590135559918709,2.834348445450499,Control
4_1,13.0,454.0,7883.0,3288.923076923077,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0004.tif,852.706176544136,199.28,879.0,4752.0,2554.923076923077,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0004.tif,360.1125,145.25,42756.0,7.094791424688332,3.857041460931464,1.83943872435713,Control
4_2,25.0,708.0,10147.0,4251.44,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0004.tif,852.706176544136,199.28,480.0,6700.0,2638.92,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0004.tif,360.1125,145.25,106285.99999999999,7.328043319795897,4.98582057565282,1.4697767816958391,Control
4_3,34.0,1074.0,17681.0,6211.088235294118,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0004.tif,852.706176544136,199.28,339.0,13118.0,3619.176470588235,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0004.tif,360.1125,145.25,211177.0,10.050127309072124,7.283972376588775,1.379759118990343,Control
4_4,34.0,1333.0,11449.0,4877.794117647059,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0004.tif,852.706176544136,199.28,432.0,9175.0,3077.0882352941176,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0004.tif,360.1125,145.25,165845.0,8.544797071176694,5.7203691632865565,1.4937492366781802,Control
4_5,25.0,471.0,6536.0,2933.36,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0004.tif,852.706176544136,199.28,768.0,5699.0,2473.96,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0004.tif,360.1125,145.25,73334.0,6.869964247283835,3.4400595195503074,1.997048076709409,Control
4_6,16.0,838.0,7395.0,3744.5625,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0004.tif,852.706176544136,199.28,903.0,5321.0,2415.125,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0004.tif,360.1125,145.25,59913.0,6.706584747821861,4.391386626488429,1.527213456307485,Control
4_7,23.0,380.0,7108.0,3537.782608695652,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0004.tif,852.706176544136,199.28,1064.0,5402.0,2526.478260869565,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0004.tif,360.1125,145.25,81369.0,7.0158027307287725,4.148888217314955,1.6910078949461804,Control
4_8,32.0,343.0,9368.0,3990.4375,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0004.tif,852.706176544136,199.28,396.0,6321.0,2596.78125,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0004.tif,360.1125,145.25,127694.0,7.211027803811309,4.679733312326318,1.5409057146093377,Control
4_9,5.0,2953.0,5024.0,4051.4,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0004.tif,852.706176544136,199.28,1372.0,3864.0,2677.6,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0004.tif,360.1125,145.25,20257.0,7.435454198340795,4.751226285729032,1.5649547614000652,Control
